,codigo,total_2018
0,Popular,131968
18,Santa Cruz,113024
36,Manrique,161735
54,Aranjuez,163213
72,Castilla,151361
90,Doce de Octubre,195308
108,Robledo,175652
126,Villa Hermosa,139025
144,Buenos Aires,137402
162,La Candelaria,85724
180,Laureles Estadio,122972
198,La América,97199
216,San Javier,139716
234,El Poblado,132688
252,Guayabal,95790
270,Belén,197493
288,Corregimiento de San Sebastián de Palmitas,7438
306,Corregimiento de San Cristóbal,99662
324,Corregimiento de Altavista,39725
342,Corregimiento de San Antonio de Prado,121980
360,Corregimiento de Santa Elena,20328
